"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"MATX","Matson, Inc.","25.88","1112715879.52","n/a","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/matx",
"MLP","Maui Land & Pineapple Company, Inc.","6.01","112821919.66","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/mlp",
"MVNR","Mavenir Systems, Inc.","13.31","383074950.28","n/a","2013","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/mvnr",
"MXT","Maxcom Telecomunicaciones SAB de CV","1.5","671948671.5","n/a","2007","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/mxt",
"MMS","Maximus, Inc.","41","2746752811","n/a","1997","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/mms",
"MXL","MaxLinear, Inc","7.25","266394210.25","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/mxl",
"MBI","MBIA, Inc.","9.38","1812169306.36","n/a","1987","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/mbi",
"MNI","McClatchy Company (The)","3.63","314891980.26","n/a","1988","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/mni",
"MKC","McCormick & Company, Incorporated","67.04","8702589105.6","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/mkc",
"MKC/V","McCormick & Company, Incorporated","66.9012","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mkc/v",
"MDR","McDermott International, Inc.","6.1","1449566942.5","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/mdr",
"MCD","McDonald&#39;s Corporation","95","93283282645","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/mcd",
"MUX","McEwen Mining Inc.","2.11","564095941.28","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mux",
"MHFI","McGraw Hill Financial, Inc.","85.27","23099643000","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/mhfi",
"MCK","McKesson Corporation","197.29","45692209719.22","n/a","n/a","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/mck",
"MDU","MDU Resources Group, Inc.","28","5430501692","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/mdu",
"MJN","Mead Johnson Nutrition Company","97.21","19652517878.79","n/a","2009","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/mjn",
"MIG","Meadowbrook Insurance Group, Inc.","5.9","295540971","n/a","1995","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/mig",
"MWV","Meadwestvaco Corporation","41.66","7018960036.68","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/mwv",
"MTL","Mechel OAO","0.7709","320903117.3205","n/a","2004","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/mtl",
"MTL^","Mechel OAO","0.0999","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mtl^",
"MEG","Media General, Inc.","13.97","1239873933.76","n/a","n/a","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/meg",
"MPW","Medical Properties Trust, Inc.","12.28","2128228515.08","n/a","2005","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mpw",
"MED","MEDIFAST INC","33.38","425232793.62","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/med",
"MCC","Medley Capital Corporation","12","696404544","n/a","2011","n/a","n/a","http://www.nasdaq.com/symbol/mcc",
"MCQ","Medley Capital Corporation","25.5","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mcq",
"MCV","Medley Capital Corporation","24.5","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mcv",
"MD","Mednax, Inc","54.7","5483259170.6","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/md",
"MDT","Medtronic, Inc.","63.77","62463761657.01","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/mdt",
"MW","Men&#39;s Wearhouse, Inc. (The)","48.31","2321499126.65","n/a","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/mw",
"MRK","Merck & Company, Inc.","60.36","174116389511.88","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/mrk",
"MCY","Mercury General Corporation","48.96","2691860800.32","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/mcy",
"MDP","Meredith Corporation","44.36","1973050689.64","n/a","n/a","Consumer Services","Newspapers/Magazines","http://www.nasdaq.com/symbol/mdp",
"MTH","Meritage Corporation","38.25","1496405254.5","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/mth",
"MTOR","Meritor, Inc.","11.69","1143282000","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/mtor",
"MER^D","Merrill Lynch & Co., Inc.","25.77","0","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/mer^d",
"MER^E","Merrill Lynch & Co., Inc.","25.87","0","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/mer^e",
"MER^F","Merrill Lynch & Co., Inc.","25.94","0","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/mer^f",
"MER^K","Merrill Lynch & Co., Inc.","25.18","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mer^k",
"MER^M","Merrill Lynch & Co., Inc.","25.16","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mer^m",
"MER^P","Merrill Lynch & Co., Inc.","25.57","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mer^p",
"PIY","Merrill Lynch Depositor, Inc.","26.22","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/piy",
"PZB","Merrill Lynch Depositor, Inc.","25.05","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/pzb",
"MTR","Mesa Royalty Trust","33.605","62625941.95","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mtr",
"MSB","Mesabi Trust","20.55","269616205.5","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/msb",
"MEI","Methode Electronics, Inc.","39.03","1489212599.64","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/mei",
"MET","MetLife, Inc.","55.45","62366005963.25","n/a","2000","Finance","Life Insurance","http://www.nasdaq.com/symbol/met",
"MET^A","MetLife, Inc.","23.8","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/met^a",
"MET^B","MetLife, Inc.","25.37","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/met^b",
"MLU","MetLife, Inc.","31.75","0","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/mlu",
"MTD","Mettler-Toledo International, Inc.","262.17","7573451080.86","n/a","1997","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/mtd",
"MXE","Mexico Equity and Income Fund, Inc. (The)","16.77","113579738.61","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mxe",
"MXF","Mexico Fund, Inc. (The)","27.76","390974255.12","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mxf",
"MFA","MFA Financial, Inc.","8.05","2961379412.95","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mfa",
"MFA^B","MFA Financial, Inc.","23.69","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mfa^b",
"MFO","MFA Financial, Inc.","26","0","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mfo",
"MIL","MFC Industrial Ltd.","7.36","464359121.92","n/a","n/a","Consumer Durables","Steel/Iron Ore","http://www.nasdaq.com/symbol/mil",
"MCR","MFS Charter Income Trust","8.9","488495421.4","n/a","1989","n/a","n/a","http://www.nasdaq.com/symbol/mcr",
"MGF","MFS Government Markets Income Trust","5.63","183544288.71","n/a","1987","n/a","n/a","http://www.nasdaq.com/symbol/mgf",
"MIN","MFS Intermediate Income Trust","4.99","588448918.65","n/a","1988","n/a","n/a","http://www.nasdaq.com/symbol/min",
"MMT","MFS Multimarket Income Trust","6.41","502403646.64","n/a","1987","n/a","n/a","http://www.nasdaq.com/symbol/mmt",
"MFM","MFS Municipal Income Trust","6.4","263600838.4","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/mfm",
"MFV","MFS Special Value Trust","7.62","53709951","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mfv",
"MTG","MGIC Investment Corporation","8.08","2735561123.6","n/a","1991","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/mtg",
"MGM","MGM Resorts International","22.81","11193810946.23","n/a","n/a","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/mgm",
"KORS","Michael Kors Holdings Limited","74.6","15326313525.2","n/a","2011","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/kors",
"MAA","Mid-America Apartment Communities, Inc.","65.51","4926012920.24","n/a","1994","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/maa",
"MEP","Midcoast Energy Partners, L.P.","22.79","1030566352.48","n/a","2013","Public Utilities","Oil & Gas Production","http://www.nasdaq.com/symbol/mep",
"MSL","MidSouth Bancorp","19.14","216942310.86","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/msl",
"MPO","Midstates Petroleum Company, Inc.","6.28","443831288.16","n/a","2012","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mpo",
"MM","Millennial Media, Inc.","1.91","205360678.8","n/a","2012","Technology","Advertising","http://www.nasdaq.com/symbol/mm",
"MILL","Miller Energy Resources, Inc.","4.59","212753251.89","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mill",
"MILL^C","Miller Energy Resources, Inc.","25.7","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mill^c",
"MILL^D","Miller Energy Resources, Inc.","24.73","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mill^d",
"MLR","Miller Industries, Inc.","17.82","201393264.6","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/mlr",
"MR","Mindray Medical International Limited","30.58","3618483603.46","n/a","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/mr",
"MTX","Minerals Technologies Inc.","63.7","2197911106.3","n/a","1992","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/mtx",
"MP^D","Mississippi Power Company","25.74","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mp^d",
"MG","Mistras Group Inc","20.61","586484404.83","n/a","2009","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/mg",
"MTU","Mitsubishi UFJ Financial Group Inc","5.8","82148040009.2","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/mtu",
"MIXT","MiX Telematics Limited","9.81","309020101.2","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mixt",
"MFG","Mizuho Financial Group, Inc.","3.7","44889516060.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/mfg",
"MBT","Mobile TeleSystems OJSC","16.93","16835455972.56","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/mbt",
"MBLY","Mobileye N.V.","51.23","10876190271.08","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mbly",
"MODN","Model N, Inc.","9.91","246305389.57","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/modn",
"MOD","Modine Manufacturing Company","12.57","601845629.25","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/mod",
"MC","Moelis & Company","34.3","1760230003.7","n/a","2014","Finance","Investment Managers","http://www.nasdaq.com/symbol/mc",
"MHK","Mohawk Industries, Inc.","136.99","9977862682.69","n/a","n/a","Consumer Durables","Home Furnishings","http://www.nasdaq.com/symbol/mhk",
"MOH","Molina Healthcare Inc","44.35","2062629800","n/a","2003","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/moh",
"TAP","Molson Coors Brewing  Company","76.51","12302683747.76","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/tap",
"TAP/A","Molson Coors Brewing  Company","76.8","0","n/a","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/tap/a",
"MCP","Molycorp, Inc","1.27","310862458.03","n/a","2010","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/mcp",
"MNR","Monmouth Real Estate Investment Corporation","10.03","566511952.5","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/mnr",
"MNR^A","Monmouth Real Estate Investment Corporation","25.5","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mnr^a",
"MNR^B","Monmouth Real Estate Investment Corporation","26.3","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mnr^b",
"MON","Monsanto Company","115.35","60511875797.25","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/mon",
"MWW","Monster Worldwide, Inc.","5.57","494744566.74","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/mww",
"MTS","Montgomery Street Income Securities, Inc.","16.25","168440610","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mts",
"MRH","Montpelier Re Holdings Ltd.","31.51","1440672365.16","n/a","2002","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/mrh",
"MRH^A","Montpelier Re Holdings Ltd.","27.7","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mrh^a",
"MCO","Moody&#39;s Corporation","94.41","19939392000","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/mco",
"MOG/A","Moog Inc.","68.94","0","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mog/a",
"MOG/B","Moog Inc.","70","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mog/b",
"MS","Morgan Stanley","34.98","68678135477.82","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ms",
"MS^A","Morgan Stanley","20.18","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ms^a",
"MS^E","Morgan Stanley","27.57","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ms^e",
"MS^F","Morgan Stanley","26.8","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ms^f",
"MS^G","Morgan Stanley","25.29","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ms^g",
"MS^I","Morgan Stanley","25.1","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ms^i",
"MSJ","Morgan Stanley","25.34","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/msj",
"MSK","Morgan Stanley","25.51","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/msk",
"MSZ","Morgan Stanley","25.45","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/msz",
"MWG","Morgan Stanley","25.12","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/mwg",
"MWO","Morgan Stanley","25.26","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/mwo",
"MWR","Morgan Stanley","25.21","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/mwr",
"APF","Morgan Stanley Asia-Pacific Fund, Inc.","16.67","233538831.76","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apf",
"CAF","Morgan Stanley China A Share Fund Inc.","24.89","544629663.85","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/caf",
"RNE","Morgan Stanley Eastern Europe Fund, Inc.","16.3799","55138052.1398","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/rne",
"MSD","Morgan Stanley Emerging Markets Debt Fund, Inc.","9.92","228257285.44","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/msd",
"EDD","Morgan Stanley Emerging Markets Domestic Debt Fund, Inc.","12.42","876673859.94","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/edd",
"MSF","Morgan Stanley Emerging Markets Fund, Inc.","16.01","232973549.52","n/a","1991","n/a","n/a","http://www.nasdaq.com/symbol/msf",
"IIF","Morgan Stanley India Investment Fund, Inc.","25.67","403997720.09","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/iif",
"MOS","Mosaic Company (The)","45.98","17226635842.46","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/mos",
"MSI","Motorola Solutions, Inc.","61.8","15504296985.6","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/msi",
"MOV","Movado Group Inc.","34.54","874615490.1","n/a","n/a","Consumer Non-Durables","Consumer Specialties","http://www.nasdaq.com/symbol/mov",
"MPLX","MPLX LP","60.36","4461721203.24","n/a","2012","Energy","Natural Gas Distribution","http://www.nasdaq.com/symbol/mplx",
"MRC","MRC Global Inc.","23.9","2444526583.3","n/a","2012","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mrc",
"ICB","MS Income Securities, Inc.","17.75","159164693.75","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/icb",
"HJV","MS Structured Asset Corp Saturns GE Cap Corp Series 2002-14","18.72","0","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/hjv",
"MSA","MSA Safety Incorporporated","53.07","1985116200.33","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/msa",
"MSM","MSC Industrial Direct Company, Inc.","88.19","5504411215.73","n/a","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/msm",
"MSCI","MSCI Inc","47.33","5515689915.11","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/msci",
"MLI","Mueller Industries, Inc.","29.1","1650320829.6","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/mli",
"MWA","MUELLER WATER PRODUCTS","8.45","1349566754.9","n/a","2006","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/mwa",
"MUR","Murphy Oil Corporation","57.28","10171296780.16","n/a","n/a","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/mur",
"MUSA","Murphy USA Inc.","53.73","2456781952.05","n/a","2013","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/musa",
"MVO","MV Oil Trust","25.45","292675000","n/a","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mvo",
"MVC","MVC Capital, Inc.","11.23","254952679.83","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mvc",
"MVCB","MVC Capital, Inc.","25.17","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/mvcb",
"MYE","Myers Industries, Inc.","17.96","569596694.48","n/a","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/mye",
"NBR","Nabors Industries Ltd.","23.52","7049972412","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/nbr",
"NC","NACCO Industries, Inc.","50.74","386985252.72","n/a","n/a","Consumer Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/nc",
